Format Version,1.21,Take Name,Take 2022-02-08 06.47.42 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-08 06.47.42.720 PM,Total Frames in Take,64656,Total Exported Frames,5775,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
1012,8.433333,-0.501325,0.182513,-0.158707,-0.500354,0.152167,-0.255929,-0.497839,0.369604,-0.046037
1013,8.441667,-0.501327,0.182560,-0.158723,-0.500354,0.152188,-0.255979,-0.497838,0.369631,-0.045997
1014,8.450000,-0.501326,0.182647,-0.158693,-0.500360,0.152200,-0.255994,-0.497845,0.369679,-0.045935
1015,8.458333,-0.501333,0.182728,-0.158666,-0.500366,0.152185,-0.255986,-0.497837,0.369757,-0.045918
1016,8.466667,-0.501334,0.182799,-0.158650,-0.500365,0.152221,-0.256032,-0.497843,0.369817,-0.045861
1017,8.475000,-0.501351,0.182829,-0.158623,-0.500363,0.152194,-0.255975,-0.497846,0.369841,-0.045814
1018,8.483333,-0.501349,0.182833,-0.158614,-0.500365,0.152184,-0.255936,-0.497848,0.369838,-0.045794
1019,8.491667,-0.501350,0.182796,-0.158616,-0.500364,0.152196,-0.255921,-0.497849,0.369819,-0.045793
1020,8.500000,-0.501346,0.182745,-0.158618,-0.500354,0.152192,-0.255896,-0.497854,0.369762,-0.045821
1021,8.508333,-0.501340,0.182687,-0.158649,-0.500351,0.152194,-0.255886,-0.497847,0.369710,-0.045880
1022,8.516667,-0.501332,0.182638,-0.158647,-0.500352,0.152183,-0.255873,-0.497846,0.369675,-0.045910
1023,8.525000,-0.501338,0.182611,-0.158648,-0.500357,0.152178,-0.255877,-0.497842,0.369666,-0.045939
1024,8.533333,-0.501320,0.182641,-0.158683,-0.500354,0.152189,-0.255917,-0.497840,0.369674,-0.045962
1025,8.541667,-0.501330,0.182668,-0.158683,-0.500353,0.152178,-0.255955,-0.497843,0.369698,-0.045950
1026,8.550000,-0.501328,0.182708,-0.158684,-0.500357,0.152203,-0.256012,-0.497837,0.369738,-0.045949
1027,8.558333,-0.501335,0.182750,-0.158681,-0.500358,0.152186,-0.256013,-0.497839,0.369783,-0.045944
