Format Version,1.21,Take Name,Take 2022-02-12 01.06.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-12 01.06.29.074 PM,Total Frames in Take,4575,Total Exported Frames,4575,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:681,Unlabeled:681,Unlabeled:681,Unlabeled:683,Unlabeled:683,Unlabeled:683
,,"8392B20CF49E35702A9","8392B20CF49E35702A9","8392B20CF49E35702A9","8392B20CF49E35702AB","8392B20CF49E35702AB","8392B20CF49E35702AB"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
0,0.000000,-0.395747,-0.017617,0.426693,-0.586372,0.196814,0.300251
1,0.008333,-0.395699,-0.017588,0.426690,-0.586390,0.196805,0.300259
2,0.016667,-0.395721,-0.017606,0.426696,-0.586380,0.196812,0.300256
3,0.025000,-0.395694,-0.017586,0.426686,-0.586392,0.196809,0.300256
4,0.033333,-0.395742,-0.017615,0.426693,-0.586381,0.196814,0.300258
5,0.041667,-0.395748,-0.017617,0.426695,-0.586381,0.196805,0.300252
6,0.050000,-0.395713,-0.017606,0.426689,-0.586380,0.196805,0.300255
7,0.058333,-0.395707,-0.017599,0.426691,-0.586399,0.196809,0.300258
8,0.066667,-0.395714,-0.017606,0.426694,-0.586371,0.196810,0.300254
9,0.075000,-0.395740,-0.017615,0.426690,-0.586389,0.196807,0.300258
10,0.083333,-0.395718,-0.017595,0.426684,-0.586367,0.196816,0.300258
11,0.091667,-0.395727,-0.017601,0.426695,-0.586375,0.196813,0.300251
12,0.100000,-0.395713,-0.017601,0.426692,-0.586378,0.196816,0.300256
13,0.108333,-0.395737,-0.017608,0.426692,-0.586376,0.196812,0.300260
14,0.116667,-0.395726,-0.017608,0.426685,-0.586395,0.196806,0.300257
15,0.125000,-0.395715,-0.017593,0.426692,-0.586354,0.196821,0.300251
16,0.133333,-0.395732,-0.017610,0.426690,-0.586404,0.196801,0.300256
17,0.141667,-0.395735,-0.017609,0.426693,-0.586402,0.196811,0.300257
18,0.150000,-0.395705,-0.017598,0.426693,-0.586368,0.196811,0.300262
19,0.158333,-0.395715,-0.017608,0.426696,-0.586385,0.196808,0.300258
20,0.166667,-0.395732,-0.017606,0.426688,-0.586375,0.196808,0.300252
21,0.175000,-0.395700,-0.017596,0.426694,-0.586353,0.196819,0.300260
22,0.183333,-0.395746,-0.017616,0.426692,-0.586353,0.196820,0.300254
23,0.191667,-0.395706,-0.017595,0.426692,-0.586376,0.196814,0.300253
24,0.200000,-0.395718,-0.017601,0.426689,-0.586349,0.196817,0.300259
25,0.208333,-0.395743,-0.017607,0.426685,-0.586389,0.196804,0.300256
26,0.216667,-0.395737,-0.017610,0.426691,-0.586368,0.196817,0.300251
27,0.225000,-0.395714,-0.017593,0.426687,-0.586365,0.196819,0.300259
28,0.233333,-0.395705,-0.017599,0.426686,-0.586401,0.196800,0.300252
29,0.241667,-0.395724,-0.017605,0.426692,-0.586347,0.196817,0.300253
30,0.250000,-0.395732,-0.017613,0.426696,-0.586402,0.196802,0.300261
31,0.258333,-0.395734,-0.017614,0.426693,-0.586363,0.196809,0.300258
32,0.266667,-0.395725,-0.017610,0.426700,-0.586352,0.196819,0.300259
33,0.275000,-0.395721,-0.017606,0.426690,-0.586415,0.196802,0.300260
34,0.283333,-0.395760,-0.017622,0.426701,-0.586374,0.196807,0.300258
35,0.291667,-0.395724,-0.017602,0.426698,-0.586388,0.196808,0.300263
36,0.300000,-0.395732,-0.017607,0.426692,-0.586352,0.196816,0.300254
37,0.308333,-0.395719,-0.017609,0.426694,-0.586370,0.196811,0.300254
38,0.316667,-0.395718,-0.017609,0.426688,-0.586384,0.196813,0.300253
39,0.325000,-0.395731,-0.017613,0.426689,-0.586360,0.196812,0.300256
40,0.333333,-0.395724,-0.017608,0.426686,-0.586393,0.196804,0.300251
41,0.341667,-0.395746,-0.017613,0.426694,-0.586359,0.196816,0.300253
42,0.350000,-0.395697,-0.017587,0.426690,-0.586390,0.196808,0.300256
43,0.358333,-0.395690,-0.017592,0.426688,-0.586380,0.196810,0.300255
44,0.366667,-0.395727,-0.017607,0.426692,-0.586393,0.196804,0.300261
45,0.375000,-0.395688,-0.017596,0.426690,-0.586401,0.196793,0.300260
46,0.383333,-0.395736,-0.017619,0.426689,-0.586384,0.196801,0.300266
47,0.391667,-0.395705,-0.017603,0.426690,-0.586375,0.196805,0.300261
48,0.400000,-0.395720,-0.017607,0.426691,-0.586365,0.196809,0.300257
49,0.408333,-0.395731,-0.017606,0.426697,-0.586399,0.196802,0.300260
50,0.416667,-0.395711,-0.017596,0.426699,-0.586374,0.196808,0.300265
51,0.425000,-0.395723,-0.017608,0.426692,-0.586411,0.196802,0.300260
52,0.433333,-0.395703,-0.017595,0.426693,-0.586393,0.196803,0.300261
53,0.441667,-0.395709,-0.017603,0.426693,-0.586375,0.196806,0.300259
