Format Version,1.21,Take Name,zzz10,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-25 09.11.19.842 PM,Total Frames in Take,10525,Total Exported Frames,10525,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:820,Unlabeled:820,Unlabeled:820,Unlabeled:822,Unlabeled:822,Unlabeled:822,Unlabeled:827,Unlabeled:827,Unlabeled:827,Unlabeled:829,Unlabeled:829,Unlabeled:829,Unlabeled:834,Unlabeled:834,Unlabeled:834,Unlabeled:835,Unlabeled:835,Unlabeled:835,Unlabeled:836,Unlabeled:836,Unlabeled:836,Unlabeled:837,Unlabeled:837,Unlabeled:837,Unlabeled:838,Unlabeled:838,Unlabeled:838,Unlabeled:839,Unlabeled:839,Unlabeled:839,Unlabeled:840,Unlabeled:840,Unlabeled:840,Unlabeled:842,Unlabeled:842,Unlabeled:842,Unlabeled:844,Unlabeled:844,Unlabeled:844,Unlabeled:845,Unlabeled:845,Unlabeled:845,Unlabeled:848,Unlabeled:848,Unlabeled:848,Unlabeled:849,Unlabeled:849,Unlabeled:849,Unlabeled:850,Unlabeled:850,Unlabeled:850,Unlabeled:851,Unlabeled:851,Unlabeled:851,Unlabeled:852,Unlabeled:852,Unlabeled:852,Unlabeled:853,Unlabeled:853,Unlabeled:853,Unlabeled:854,Unlabeled:854,Unlabeled:854,Unlabeled:855,Unlabeled:855,Unlabeled:855,Unlabeled:856,Unlabeled:856,Unlabeled:856,Unlabeled:857,Unlabeled:857,Unlabeled:857,Unlabeled:858,Unlabeled:858,Unlabeled:858,Unlabeled:861,Unlabeled:861,Unlabeled:861,Unlabeled:863,Unlabeled:863,Unlabeled:863,Unlabeled:864,Unlabeled:864,Unlabeled:864,Unlabeled:866,Unlabeled:866,Unlabeled:866,Unlabeled:867,Unlabeled:867,Unlabeled:867,Unlabeled:870,Unlabeled:870,Unlabeled:870
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E3570334","8392B20CF49E3570334","8392B20CF49E3570334","8392B20CF49E3570336","8392B20CF49E3570336","8392B20CF49E3570336","8392B20CF49E357033B","8392B20CF49E357033B","8392B20CF49E357033B","8392B20CF49E357033D","8392B20CF49E357033D","8392B20CF49E357033D","8392B20CF49E3570342","8392B20CF49E3570342","8392B20CF49E3570342","8392B20CF49E3570343","8392B20CF49E3570343","8392B20CF49E3570343","8392B20CF49E3570344","8392B20CF49E3570344","8392B20CF49E3570344","8392B20CF49E3570345","8392B20CF49E3570345","8392B20CF49E3570345","8392B20CF49E3570346","8392B20CF49E3570346","8392B20CF49E3570346","8392B20CF49E3570347","8392B20CF49E3570347","8392B20CF49E3570347","8392B20CF49E3570348","8392B20CF49E3570348","8392B20CF49E3570348","8392B20CF49E357034A","8392B20CF49E357034A","8392B20CF49E357034A","8392B20CF49E357034C","8392B20CF49E357034C","8392B20CF49E357034C","8392B20CF49E357034D","8392B20CF49E357034D","8392B20CF49E357034D","8392B20CF49E3570350","8392B20CF49E3570350","8392B20CF49E3570350","8392B20CF49E3570351","8392B20CF49E3570351","8392B20CF49E3570351","8392B20CF49E3570352","8392B20CF49E3570352","8392B20CF49E3570352","8392B20CF49E3570353","8392B20CF49E3570353","8392B20CF49E3570353","8392B20CF49E3570354","8392B20CF49E3570354","8392B20CF49E3570354","8392B20CF49E3570355","8392B20CF49E3570355","8392B20CF49E3570355","8392B20CF49E3570356","8392B20CF49E3570356","8392B20CF49E3570356","8392B20CF49E3570357","8392B20CF49E3570357","8392B20CF49E3570357","8392B20CF49E3570358","8392B20CF49E3570358","8392B20CF49E3570358","8392B20CF49E3570359","8392B20CF49E3570359","8392B20CF49E3570359","8392B20CF49E357035A","8392B20CF49E357035A","8392B20CF49E357035A","8392B20CF49E357035D","8392B20CF49E357035D","8392B20CF49E357035D","8392B20CF49E357035F","8392B20CF49E357035F","8392B20CF49E357035F","8392B20CF49E3570360","8392B20CF49E3570360","8392B20CF49E3570360","8392B20CF49E3570362","8392B20CF49E3570362","8392B20CF49E3570362","8392B20CF49E3570363","8392B20CF49E3570363","8392B20CF49E3570363","8392B20CF49E3570366","8392B20CF49E3570366","8392B20CF49E3570366"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.280037,0.231931,0.382618,-0.278467,0.017612,0.252840,-0.266672,-0.011104,0.217938,-0.264323,0.008335,0.163030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.280035,0.231934,0.382616,-0.278453,0.017610,0.252846,-0.266673,-0.011108,0.217939,-0.264324,0.008341,0.163022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.280031,0.231936,0.382616,-0.278463,0.017619,0.252838,-0.266661,-0.011115,0.217953,-0.264322,0.008341,0.163026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.280034,0.231936,0.382620,-0.278459,0.017613,0.252844,-0.266659,-0.011109,0.217951,-0.264319,0.008339,0.163032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.280030,0.231937,0.382619,-0.278467,0.017620,0.252839,-0.266667,-0.011106,0.217946,-0.264328,0.008342,0.163027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.280037,0.231934,0.382620,-0.278465,0.017618,0.252841,-0.266672,-0.011106,0.217946,-0.264321,0.008343,0.163028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
