Format Version,1.21,Take Name,zzz30,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-25 09.13.26.388 PM,Total Frames in Take,10289,Total Exported Frames,10289,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:879,Unlabeled:879,Unlabeled:879,Unlabeled:880,Unlabeled:880,Unlabeled:880,Unlabeled:893,Unlabeled:893,Unlabeled:893,Unlabeled:708,Unlabeled:708,Unlabeled:708,Unlabeled:897,Unlabeled:897,Unlabeled:897,Unlabeled:898,Unlabeled:898,Unlabeled:898,Unlabeled:902,Unlabeled:902,Unlabeled:902,Unlabeled:903,Unlabeled:903,Unlabeled:903,Unlabeled:905,Unlabeled:905,Unlabeled:905,Unlabeled:910,Unlabeled:910,Unlabeled:910,Unlabeled:911,Unlabeled:911,Unlabeled:911,Unlabeled:912,Unlabeled:912,Unlabeled:912,Unlabeled:916,Unlabeled:916,Unlabeled:916,Unlabeled:917,Unlabeled:917,Unlabeled:917,Unlabeled:919,Unlabeled:919,Unlabeled:919,Unlabeled:922,Unlabeled:922,Unlabeled:922,Unlabeled:923,Unlabeled:923,Unlabeled:923,Unlabeled:925,Unlabeled:925,Unlabeled:925,Unlabeled:927,Unlabeled:927,Unlabeled:927,Unlabeled:930,Unlabeled:930,Unlabeled:930,Unlabeled:935,Unlabeled:935,Unlabeled:935,Unlabeled:936,Unlabeled:936,Unlabeled:936,Unlabeled:937,Unlabeled:937,Unlabeled:937,Unlabeled:938,Unlabeled:938,Unlabeled:938,Unlabeled:939,Unlabeled:939,Unlabeled:939,Unlabeled:941,Unlabeled:941,Unlabeled:941,Unlabeled:942,Unlabeled:942,Unlabeled:942,Unlabeled:943,Unlabeled:943,Unlabeled:943
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357036F","8392B20CF49E357036F","8392B20CF49E357036F","8392B20CF49E3570370","8392B20CF49E3570370","8392B20CF49E3570370","8392B20CF49E357037D","8392B20CF49E357037D","8392B20CF49E357037D","8392B20CF49E35702C4","8392B20CF49E35702C4","8392B20CF49E35702C4","8392B20CF49E3570381","8392B20CF49E3570381","8392B20CF49E3570381","8392B20CF49E3570382","8392B20CF49E3570382","8392B20CF49E3570382","8392B20CF49E3570386","8392B20CF49E3570386","8392B20CF49E3570386","8392B20CF49E3570387","8392B20CF49E3570387","8392B20CF49E3570387","8392B20CF49E3570389","8392B20CF49E3570389","8392B20CF49E3570389","8392B20CF49E357038E","8392B20CF49E357038E","8392B20CF49E357038E","8392B20CF49E357038F","8392B20CF49E357038F","8392B20CF49E357038F","8392B20CF49E3570390","8392B20CF49E3570390","8392B20CF49E3570390","8392B20CF49E3570394","8392B20CF49E3570394","8392B20CF49E3570394","8392B20CF49E3570395","8392B20CF49E3570395","8392B20CF49E3570395","8392B20CF49E3570397","8392B20CF49E3570397","8392B20CF49E3570397","8392B20CF49E357039A","8392B20CF49E357039A","8392B20CF49E357039A","8392B20CF49E357039B","8392B20CF49E357039B","8392B20CF49E357039B","8392B20CF49E357039D","8392B20CF49E357039D","8392B20CF49E357039D","8392B20CF49E357039F","8392B20CF49E357039F","8392B20CF49E357039F","8392B20CF49E35703A2","8392B20CF49E35703A2","8392B20CF49E35703A2","8392B20CF49E35703A7","8392B20CF49E35703A7","8392B20CF49E35703A7","8392B20CF49E35703A8","8392B20CF49E35703A8","8392B20CF49E35703A8","8392B20CF49E35703A9","8392B20CF49E35703A9","8392B20CF49E35703A9","8392B20CF49E35703AA","8392B20CF49E35703AA","8392B20CF49E35703AA","8392B20CF49E35703AB","8392B20CF49E35703AB","8392B20CF49E35703AB","8392B20CF49E35703AD","8392B20CF49E35703AD","8392B20CF49E35703AD","8392B20CF49E35703AE","8392B20CF49E35703AE","8392B20CF49E35703AE","8392B20CF49E35703AF","8392B20CF49E35703AF","8392B20CF49E35703AF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.280009,0.230584,0.382643,-0.278545,0.016799,0.253048,-0.266636,-0.011584,0.218010,-0.264294,0.008029,0.163174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.280006,0.230586,0.382637,-0.278539,0.016804,0.253046,-0.266636,-0.011589,0.218017,-0.264302,0.008031,0.163172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.279995,0.230581,0.382646,-0.278539,0.016801,0.253048,-0.266641,-0.011586,0.218011,-0.264291,0.008026,0.163179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.280004,0.230582,0.382641,-0.278542,0.016803,0.253038,-0.266638,-0.011585,0.218011,-0.264291,0.008030,0.163181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.279997,0.230585,0.382645,-0.278540,0.016800,0.253042,-0.266639,-0.011587,0.218009,-0.264295,0.008033,0.163173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.279999,0.230581,0.382643,-0.278538,0.016802,0.253045,-0.266634,-0.011582,0.218011,-0.264300,0.008031,0.163168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
