Format Version,1.21,Take Name,zzz60,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-25 09.05.38.460 PM,Total Frames in Take,10336,Total Exported Frames,10336,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:551,Unlabeled:551,Unlabeled:551,Unlabeled:553,Unlabeled:553,Unlabeled:553,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:555,Unlabeled:555,Unlabeled:555,Unlabeled:557,Unlabeled:557,Unlabeled:557,Unlabeled:563,Unlabeled:563,Unlabeled:563,Unlabeled:564,Unlabeled:564,Unlabeled:564,Unlabeled:566,Unlabeled:566,Unlabeled:566,Unlabeled:567,Unlabeled:567,Unlabeled:567,Unlabeled:568,Unlabeled:568,Unlabeled:568,Unlabeled:569,Unlabeled:569,Unlabeled:569,Unlabeled:570,Unlabeled:570,Unlabeled:570,Unlabeled:571,Unlabeled:571,Unlabeled:571,Unlabeled:573,Unlabeled:573,Unlabeled:573,Unlabeled:574,Unlabeled:574,Unlabeled:574,Unlabeled:575,Unlabeled:575,Unlabeled:575,Unlabeled:576,Unlabeled:576,Unlabeled:576,Unlabeled:579,Unlabeled:579,Unlabeled:579,Unlabeled:580,Unlabeled:580,Unlabeled:580,Unlabeled:585,Unlabeled:585,Unlabeled:585,Unlabeled:586,Unlabeled:586,Unlabeled:586,Unlabeled:587,Unlabeled:587,Unlabeled:587,Unlabeled:588,Unlabeled:588,Unlabeled:588,Unlabeled:589,Unlabeled:589,Unlabeled:589,Unlabeled:591,Unlabeled:591,Unlabeled:591,Unlabeled:593,Unlabeled:593,Unlabeled:593,Unlabeled:596,Unlabeled:596,Unlabeled:596,Unlabeled:598,Unlabeled:598,Unlabeled:598,Unlabeled:600,Unlabeled:600,Unlabeled:600,Unlabeled:602,Unlabeled:602,Unlabeled:602,Unlabeled:610,Unlabeled:610,Unlabeled:610,Unlabeled:612,Unlabeled:612,Unlabeled:612,Unlabeled:614,Unlabeled:614,Unlabeled:614,Unlabeled:617,Unlabeled:617,Unlabeled:617,Unlabeled:620,Unlabeled:620,Unlabeled:620
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E3570227","8392B20CF49E3570227","8392B20CF49E3570227","8392B20CF49E3570229","8392B20CF49E3570229","8392B20CF49E3570229","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022D","8392B20CF49E357022D","8392B20CF49E357022D","8392B20CF49E3570233","8392B20CF49E3570233","8392B20CF49E3570233","8392B20CF49E3570234","8392B20CF49E3570234","8392B20CF49E3570234","8392B20CF49E3570236","8392B20CF49E3570236","8392B20CF49E3570236","8392B20CF49E3570237","8392B20CF49E3570237","8392B20CF49E3570237","8392B20CF49E3570238","8392B20CF49E3570238","8392B20CF49E3570238","8392B20CF49E3570239","8392B20CF49E3570239","8392B20CF49E3570239","8392B20CF49E357023A","8392B20CF49E357023A","8392B20CF49E357023A","8392B20CF49E357023B","8392B20CF49E357023B","8392B20CF49E357023B","8392B20CF49E357023D","8392B20CF49E357023D","8392B20CF49E357023D","8392B20CF49E357023E","8392B20CF49E357023E","8392B20CF49E357023E","8392B20CF49E357023F","8392B20CF49E357023F","8392B20CF49E357023F","8392B20CF49E3570240","8392B20CF49E3570240","8392B20CF49E3570240","8392B20CF49E3570243","8392B20CF49E3570243","8392B20CF49E3570243","8392B20CF49E3570244","8392B20CF49E3570244","8392B20CF49E3570244","8392B20CF49E3570249","8392B20CF49E3570249","8392B20CF49E3570249","8392B20CF49E357024A","8392B20CF49E357024A","8392B20CF49E357024A","8392B20CF49E357024B","8392B20CF49E357024B","8392B20CF49E357024B","8392B20CF49E357024C","8392B20CF49E357024C","8392B20CF49E357024C","8392B20CF49E357024D","8392B20CF49E357024D","8392B20CF49E357024D","8392B20CF49E357024F","8392B20CF49E357024F","8392B20CF49E357024F","8392B20CF49E3570251","8392B20CF49E3570251","8392B20CF49E3570251","8392B20CF49E3570254","8392B20CF49E3570254","8392B20CF49E3570254","8392B20CF49E3570256","8392B20CF49E3570256","8392B20CF49E3570256","8392B20CF49E3570258","8392B20CF49E3570258","8392B20CF49E3570258","8392B20CF49E357025A","8392B20CF49E357025A","8392B20CF49E357025A","8392B20CF49E3570262","8392B20CF49E3570262","8392B20CF49E3570262","8392B20CF49E3570264","8392B20CF49E3570264","8392B20CF49E3570264","8392B20CF49E3570266","8392B20CF49E3570266","8392B20CF49E3570266","8392B20CF49E3570269","8392B20CF49E3570269","8392B20CF49E3570269","8392B20CF49E357026C","8392B20CF49E357026C","8392B20CF49E357026C"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.280048,0.229387,0.382542,-0.278716,0.016420,0.253196,-0.266681,-0.011577,0.218043,-0.264315,0.008062,0.163168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.008333,-0.280057,0.229386,0.382533,-0.278721,0.016429,0.253195,-0.266673,-0.011575,0.218045,-0.264322,0.008064,0.163169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,-0.280054,0.229386,0.382539,-0.278727,0.016430,0.253190,-0.266684,-0.011575,0.218032,-0.264321,0.008059,0.163170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,-0.280048,0.229383,0.382545,-0.278722,0.016430,0.253187,-0.266689,-0.011570,0.218031,-0.264329,0.008061,0.163173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,-0.280055,0.229384,0.382532,-0.278723,0.016427,0.253188,-0.266684,-0.011575,0.218045,-0.264322,0.008067,0.163169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,-0.280059,0.229383,0.382530,-0.278722,0.016425,0.253193,-0.266682,-0.011576,0.218036,-0.264323,0.008065,0.163168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
